total_resource,6,,
---,,,
alternative_chain,,,
1,"(1,'1x')",,
2,"(29,'29x')",,
---,,,
jobnr,resource,time,successors
'1x',6,3,"{2,3,4}"
'29x',3,3,{30}
1,6,6,"{2,3,4}"
10,4,5,"{11,28}"
11,4,6,{25}
12,6,5,"{13,14}"
13,4,6,{21}
14,2,2,"{15,20}"
15,5,7,{26}
16,5,6,"{17,19}"
17,4,7,{24}
18,2,4,{20}
19,2,7,{23}
2,6,6,{12}
20,6,6,{21}
21,4,2,{24}
22,1,3,{28}
23,4,7,{26}
24,4,7,{25}
25,3,6,{27}
26,2,3,"{29,'29x'}"
27,6,2,{28}
28,6,2,"{29,'29x'}"
29,1,5,{30}
3,1,4,{27}
30,3,3,{}
4,1,3,"{5,6}"
5,5,4,{18}
6,5,7,"{7,9}"
7,5,5,"{8,23}"
8,6,2,{16}
9,1,3,"{10,22}"
