total_resource,6,,
---,,,
alternative_chain,,,
1,"(29,'29x')",,
2,"(30,'30x')",,
---,,,
jobnr,resource,time,successors
'29x',3,5,"{30,'30x','30x'}"
'30x',1,4,{}
1,2,5,"{2,3,4}"
10,5,4,"{11,16}"
11,1,7,{27}
12,1,5,{15}
13,3,5,"{14,18}"
14,3,7,{19}
15,3,3,{17}
16,3,5,{26}
17,4,5,{24}
18,3,2,{22}
19,1,6,{28}
2,5,5,{13}
20,1,3,{27}
21,5,2,{22}
22,1,3,{24}
23,1,2,{26}
24,5,2,{25}
25,1,3,"{29,'29x'}"
26,5,6,{28}
27,3,4,"{29,'29x'}"
28,4,7,"{29,'29x'}"
29,5,3,"{30,'30x','30x'}"
3,3,6,{8}
30,2,5,{}
4,2,6,"{5,25}"
5,4,4,"{6,20}"
6,5,5,"{7,23}"
7,5,4,{28}
8,1,7,"{9,12}"
9,2,7,"{10,21}"
